FECHA_AMB;Valor_AMB
30/08/2019 10:00;14.7
30/08/2019 11:00;14.6
30/08/2019 12:00;15.3
30/08/2019 13:00;16.1
30/08/2019 14:00;16.1
30/08/2019 15:00;16.2
30/08/2019 16:00;19
30/08/2019 17:00;29.9
30/08/2019 18:00;26.2
30/08/2019 19:00;23
30/08/2019 20:00;18.7
30/08/2019 21:00;20.5
30/08/2019 22:00;20.4
30/08/2019 23:00;20.5
31/08/2019 0:00;23.3
31/08/2019 1:00;25.8
31/08/2019 2:00;22.4
31/08/2019 3:00;23.6
31/08/2019 4:00;30
31/08/2019 5:00;24.9
31/08/2019 6:00;25
31/08/2019 7:00;29.9
31/08/2019 8:00;30.5
31/08/2019 9:00;25.2
31/08/2019 10:00;25.2
31/08/2019 11:00;22.5
31/08/2019 12:00;20.7
31/08/2019 13:00;17.8
31/08/2019 14:00;16.8
31/08/2019 15:00;18
31/08/2019 16:00;18.9
31/08/2019 17:00;22.6
31/08/2019 18:00;21.1
31/08/2019 19:00;20.4
31/08/2019 20:00;18.7
31/08/2019 21:00;22.8
31/08/2019 22:00;25.2
31/08/2019 23:00;18
